iso_time,elapsed_s,mission_id,run_mode,event,hw_mode,lat,lng,yaw_deg,gps_fix,gps_ready,lidar_min_front_m,lidar_obstacle,pwm_l,pwm_r,enc_l,enc_r,wheel_speed_l_kph,wheel_speed_r_kph,wheel_speed_avg_kph,wp_idx,path_len,target_lat,target_lng,dist_to_target_m,battery_soc_pct,battery_voltage_v,battery_current_a,battery_temp_c,battery_status,follow_status,follow_debug
2026-06-20T13:40:00.088,0.089,mission_20260620_134000_auto,AUTO,MISSION_START,1,13.341753005981445,101.02143859863281,133.21251251507366,4,True,3.562000036239624,0,215,215,-135,255,0.0,-3.5387999296188357,-1.7712000489234925,0,3,13.341702461242676,101.02124786376953,21.388006647498276,96,25.0,-75.5,35.0,0,FOLLOW PAUSED,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 3.07, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:01.091,1.091,mission_20260620_134000_auto,AUTO,,1,13.341751098632812,101.02143859863281,134.684240696293,4,True,-1.0,0,0,0,65515,-18985,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.33325606439569,96,25.899999618530273,-53.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 3.17, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:02.091,2.092,mission_20260620_134000_auto,AUTO,,1,13.341752052307129,101.02143859863281,134.14170511014052,4,True,-1.0,0,0,0,65514,-18985,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.36038567196904,96,26.0,-3.700000047683716,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 3.4, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range_"
2026-06-20T13:40:03.098,3.098,mission_20260620_134000_auto,AUTO,,1,13.341753005981445,101.02143859863281,133.66032703781636,4,True,-1.0,0,0,0,65514,-18985,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.388006647498276,96,26.0,-1.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.57, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:04.100,4.101,mission_20260620_134000_auto,AUTO,,1,13.341753959655762,101.02143859863281,133.18982262665088,4,True,-1.0,0,0,0,0,0,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.41611708978978,96,-1.5,35.0,0.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.56, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:05.104,5.105,mission_20260620_134000_auto,AUTO,,1,13.341754913330078,101.02143859863281,132.7346178392262,4,True,-1.0,0,0,0,-18986,0,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.444715074015942,96,-1.5,35.0,0.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.54, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:06.105,6.105,mission_20260620_134000_auto,AUTO,,1,13.341755867004395,101.02143859863281,132.28877041096445,4,True,-1.0,0,0,0,65514,-18986,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.473798652307707,96,26.100000381469727,-1.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.56, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:07.119,7.12,mission_20260620_134000_auto,AUTO,,1,13.341755867004395,101.02143859863281,131.8711180035965,4,True,-1.0,0,0,0,65514,-18986,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.473798652307707,96,26.100000381469727,-1.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.58, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:08.132,8.132,mission_20260620_134000_auto,AUTO,,1,13.341756820678711,101.02143859863281,131.4667844651101,4,True,-1.0,0,0,0,65514,-18986,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.50336585434856,96,26.100000381469727,-1.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.57, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:09.138,9.139,mission_20260620_134000_auto,AUTO,,1,13.341757774353027,101.02143859863281,131.07500481431816,4,True,-1.0,0,0,0,65514,-18,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.533414687969483,96,26.100000381469727,-1.600000023841858,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 3.4, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range_"
2026-06-20T13:40:10.140,10.141,mission_20260620_134000_auto,AUTO,,1,13.341757774353027,101.02143859863281,130.6105929318923,4,True,-1.0,0,0,0,65514,-18986,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.533414687969483,96,26.100000381469727,-1.5,35.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.56, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
2026-06-20T13:40:11.145,11.145,mission_20260620_134000_auto,AUTO,,1,13.341758728027344,101.02143859863281,130.25232218916847,4,True,-1.0,0,0,0,0,0,0.0,0.0,0.0,0,3,13.341702461242676,101.02124786376953,21.563943139744676,96,0.0,0.0,0.0,0,READY owner=Yellow refs=22,"{""cmd"": ""STOP"", ""status"": ""READY"", ""detector"": ""yolo"", ""state"": ""IDLE"", ""owner"": ""Yellow"", ""score"": null, ""match_max"": 0.5, ""refs"": 22, ""match_mode"": ""osnet"", ""steer_zones"": 41, ""people"": 0, ""track_id"": null, ""target_ex"": 0.0, ""target_cx_vel_px_s"": 0.0, ""target_age_s"": null, ""lidar_min_m"": 2.58, ""target_lidar_m"": null, ""target_lidar_deg"": null, ""camera_range"
