iso_time,elapsed_s,mission_id,run_mode,event,hw_mode,lat,lng,yaw_deg,gps_fix,gps_ready,lidar_min_front_m,lidar_obstacle,pwm_l,pwm_r,enc_l,enc_r,wheel_speed_l_kph,wheel_speed_r_kph,wheel_speed_avg_kph,wp_idx,path_len,target_lat,target_lng,dist_to_target_m,battery_soc_pct,battery_voltage_v,battery_current_a,battery_temp_c,battery_status,follow_status,follow_debug
2026-05-31T14:19:47.000,0.0,mission_demo_grid_20260531_141947,AUTO,MISSION_START,1,13.7564212,100.5011428,88.4,4,True,3.85,0,0,0,148220,148105,0.00,0.00,0.00,0,8,13.7564478,100.5011435,2.96,92,26.7,-1.8,31.4,0,,
2026-05-31T14:19:48.000,1.0,mission_demo_grid_20260531_141947,AUTO,ALIGN_TO_PATH,1,13.7564214,100.5011428,91.6,4,True,3.62,0,82,76,148254,148138,0.24,0.23,0.24,0,8,13.7564478,100.5011435,2.93,92,26.6,-9.7,31.6,0,,
2026-05-31T14:19:49.000,2.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564278,100.5011430,92.1,4,True,3.40,0,108,104,148506,148382,0.99,0.95,0.97,0,8,13.7564478,100.5011435,2.22,92,26.5,-16.8,31.9,0,,
2026-05-31T14:19:50.000,3.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564388,100.5011433,91.2,4,True,3.31,0,105,107,148788,148664,1.09,1.08,1.09,0,8,13.7564478,100.5011435,1.00,92,26.5,-18.5,32.1,0,,
2026-05-31T14:19:51.000,4.0,mission_demo_grid_20260531_141947,AUTO,WP_REACHED,1,13.7564472,100.5011435,89.8,4,True,3.19,0,45,42,148944,148819,0.44,0.42,0.43,1,8,13.7564478,100.5011719,3.07,91,26.4,-8.2,32.0,0,,
2026-05-31T14:19:52.000,5.0,mission_demo_grid_20260531_141947,AUTO,U_TURN_ALIGN,1,13.7564476,100.5011448,42.0,4,True,2.90,0,92,-92,149012,148750,0.21,-0.22,0.00,1,8,13.7564478,100.5011719,2.93,91,26.3,-20.6,32.5,0,,
2026-05-31T14:19:53.000,6.0,mission_demo_grid_20260531_141947,AUTO,U_TURN_ALIGN,1,13.7564477,100.5011469,3.8,4,True,2.74,0,78,-80,149073,148691,0.19,-0.20,-0.01,1,8,13.7564478,100.5011719,2.70,91,26.3,-19.4,32.7,0,,
2026-05-31T14:19:54.000,7.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564478,100.5011552,0.6,4,True,2.61,0,102,101,149338,148955,1.02,1.01,1.02,1,8,13.7564478,100.5011719,1.81,91,26.2,-17.9,32.8,0,,
2026-05-31T14:19:55.000,8.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564478,100.5011668,359.4,4,True,2.20,0,96,99,149584,149206,0.94,0.97,0.96,1,8,13.7564478,100.5011719,0.55,91,26.2,-15.4,32.8,0,,
2026-05-31T14:19:56.000,9.0,mission_demo_grid_20260531_141947,AUTO,WP_REACHED,1,13.7564478,100.5011714,358.8,4,True,2.02,0,35,37,149682,149306,0.30,0.31,0.31,2,8,13.7564212,100.5011718,2.96,91,26.3,-7.6,32.7,0,,
2026-05-31T14:19:57.000,10.0,mission_demo_grid_20260531_141947,AUTO,OBSTACLE_SLOW,1,13.7564415,100.5011715,270.4,4,True,1.92,1,58,64,149818,149451,0.49,0.53,0.51,2,8,13.7564212,100.5011718,2.26,91,26.2,-11.8,33.0,0,,
2026-05-31T14:19:58.000,11.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564302,100.5011717,269.1,4,True,2.95,0,100,98,150075,149704,0.99,0.96,0.98,2,8,13.7564212,100.5011718,1.00,91,26.2,-17.2,33.2,0,,
2026-05-31T14:19:59.000,12.0,mission_demo_grid_20260531_141947,AUTO,WP_REACHED,1,13.7564219,100.5011718,268.9,4,True,3.12,0,42,40,150220,149846,0.42,0.40,0.41,3,8,13.7564211,100.5011996,3.01,90,26.1,-8.0,33.0,0,,
2026-05-31T14:20:00.000,13.0,mission_demo_grid_20260531_141947,AUTO,,1,13.7564214,100.5011845,0.9,4,True,3.42,0,105,106,150495,150122,1.06,1.06,1.06,3,8,13.7564211,100.5011996,1.64,90,26.1,-18.1,33.1,0,,
2026-05-31T14:20:01.000,14.0,mission_demo_grid_20260531_141947,AUTO,WP_REACHED,1,13.7564212,100.5011991,1.4,4,True,3.55,0,38,38,150632,150259,0.39,0.39,0.39,4,8,13.7564479,100.5011998,2.97,90,26.0,-7.9,33.0,0,,
2026-05-31T14:20:02.000,15.0,mission_demo_grid_20260531_141947,AUTO,STOP,1,13.7564212,100.5011991,1.4,4,True,3.55,0,0,0,150632,150259,0.00,0.00,0.00,4,8,13.7564479,100.5011998,2.97,90,26.1,-1.6,32.9,0,,
